,Côte,Enchère_moy,Note,Variation,But,Temps,Jour,Note_Jour,Journée_Next,Buteur,Entrée_Remplaçant,But_Match,Match_Noté,Titulaire_Match,Statut,Status_Match_Code,Derniers_Status_Match_avant_J,Derniers_Match_Buteur_avant_J,Derniers_But_Match_avant_J,Derniers_Status_Match_après_J,Derniers_Match_Buteur_après_J,Derniers_But_Match_après_J,%Buteur_Derniers_Match,%Titulaire_Derniers_Match,%Noté_Derniers_Match,%Buteur_Derniers_Match_après,%Titulaire_Derniers_Match_après,%Noté_Derniers_Match_après,But/Match_Derniers_Match,But/Match_Derniers_Match_après,Note_Moy_Derniers_Match,Note_Moy_Derniers_Match_Dom,Note_Moy_Derniers_Match_Ext,Note_Moy_,Note_Moy_Derniers_Match_A,Note_Moy_Derniers_Match_Dom_A,Note_Moy_Derniers_Match_Ext_A,Moy_But_Av_J,Nb_But_Av_J,Moy_But_Ap_J,Nb_But_Ap_J,Rolling_Note_J,Rolling_Note_J_Ap,Rolling_Note_J_Derniers_Match,Rolling_Note_J_Derniers_Match_Ap,Ratio_G_derniers matchs,Ratio_N_derniers matchs,Ratio_P_derniers matchs,Note_Jour_Next_Classes
7707,21,22.0,5.08,1.23,9,2396,21,0.0,22,0,0,0,0,0,1,0,212.0,0.0,0.0,21,0,0,0.0,0.4,0.4,0.0,0.2,0.2,0.0,0.0,2.3,4.3,2.4,0.0,1.4,3.4,2.4,0.15,3.0,0.14,3,4.1,3.9,2.3,1.4,0.3333333333333333,0.0,0.6666666666666666,0
7708,12,12.0,5.43,0.74,3,1628,21,5.0,22,0,0,0,1,1,1,2,22202.0,0.0,0.0,22220,0,0,0.0,0.8,0.8,0.0,0.8,0.8,0.0,0.0,4.8,2.2,4.7,5.0,4.6,2.1,4.7,0.1,2.0,0.1,2,3.95,4.0,4.8,4.6,1.0,0.0,0.0,2
7709,14,18.0,5.21,1.0,3,2174,21,6.0,22,1,0,1,1,1,1,2,2222.0,0.0,0.0,20222,10000,10000,0.0,0.8,0.8,0.2,0.8,0.8,0.0,0.2,3.3,4.9,4.3,6.0,3.5,5.0,4.3,0.0,0.0,0.05,1,3.62,3.74,3.3,3.5,0.3333333333333333,0.0,0.6666666666666666,0
7710,20,25.0,5.34,0.96,8,2342,21,0.0,22,0,0,0,0,0,0,0,2222.0,10.0,10.0,222,1,1,0.2,0.8,0.8,0.2,0.6,0.6,0.2,0.2,4.2,3.8,5.7,0.0,3.3,3.8,4.7,0.25,5.0,0.24,5,4.95,4.71,4.2,3.3,0.0,0.0,1.0,0
7711,8,15.0,5.08,1.18,4,1530,21,0.0,22,0,0,0,0,0,0,0,2220.0,100.0,100.0,222,10,10,0.2,0.6,0.6,0.2,0.6,0.6,0.2,0.2,3.7,3.8,4.0,0.0,3.7,3.8,3.2,0.15,3.0,0.14,3,2.95,2.81,3.7,3.7,0.3333333333333333,0.3333333333333333,0.3333333333333333,1
7712,33,41.0,6.04,1.08,11,3213,21,8.0,22,1,0,1,1,1,1,2,22222.0,101.0,101.0,22222,10010,10010,0.4,1.0,1.0,0.4,1.0,1.0,0.4,0.4,5.8,6.3,5.5,8.0,6.2,6.8,5.5,0.1,2.0,0.14,3,5.7,5.81,5.8,6.2,0.0,0.0,1.0,3
7713,1,1.0,4.5,0.0,0,9,21,0.0,22,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0,0.68,0.64,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0
7714,9,9.0,4.77,0.42,0,409,21,0.0,22,0,0,0,0,0,0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.6,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0,1.15,1.1,1.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0
7715,8,8.0,4.81,0.46,0,541,21,5.0,22,0,0,0,1,1,1,2,0.0,0.0,0.0,20000,0,0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,1.2,0.9,5.0,1.0,2.2,0.9,0.0,0.0,0.0,0,1.48,1.64,0.0,1.0,1.0,0.0,0.0,0
7716,14,14.0,4.9,1.18,1,2256,21,5.0,22,0,1,0,1,0,0,1,200.0,0.0,0.0,10020,0,0,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0.0,0.6,2.8,2.3,5.0,1.6,2.8,2.2,0.0,0.0,0.0,0,3.25,3.33,0.6,1.6,0.0,0.3333333333333333,0.6666666666666666,3
